,Title,Hunt Dates,Bag Limit,ONLY MEANS ALLOWED,Hunt Method,Baiting,Hunt Restrictions,MEANS NOT ALLOWED,Available,Fee per adult,Fee per youth,Youth ages,Adult minimum age,Supervising adult minimum age,Applicants,Permits/Groups,Success Rate,Draw Probability
0,Bastrop SP,"Jan05,2022; Jan07,2022",Three White-tailed Deer; Antlerless or Spike BuckUnlimited Feral HogsUnlimited Exotic Mammals; Either Sex; Red Deer,Centerfire Rifles,Compartment; Hunters are encouraged to bring portable blinds since blinds are not provided within compartments.  Extensive walking is required to reach prime hunting areas.,Allowed,,,15,$80.00 ,$0.00 ,16-Aug,17,18,1343,15,24%,0.011169025
1,Colorado Bend SP,"Dec08,2021; Dec10,2021",Three White-tailed Deer; Antlerless or Spike BuckUnlimited Feral Hogs; Either SexUnlimited Aoudad; Either SexUnlimited Exotic Mammals; Either Sex,Centerfire Rifles,Compartment; Hunters are encouraged to bring portable blinds. There are temporary blinds made with cattle panels and t-posts that you can stack cedar limbs against and use for cover if you do not have a portable blind.,Allowed,Baiting is allowed; Corn must be labeled for wildlife use (aflatoxin less than 20 ppb) and in its original container. Only drawn hunters will be allowed in the park during the hunt.,,50,$80.00 ,$0.00 ,16-Aug,17,18,2263,50,52%,0.022094565
2,Cooper WMA,"Nov27,2021; Nov29,2021",Three White-tailed Deer; Antlerless or Spike Buck; Limit One Spike BuckUnlimited Feral Hogs,Centerfire Rifles,Compartment; Hunters may bring portable blinds.  ATVs and ORVs allowed.,Allowed,,,20,$80.00 ,$0.00 ,16-Aug,17,18,461,12,16%,0.043383948
3,Copper Breaks SP,"Dec04,2021; Dec06,2021",One White-tailed Deer; Antlerless or Spike BuckUnlimited Feral HogsUnlimited Exotic Mammals,Centerfire Rifles,"Compartment; Hunters are encouraged to arrive a day early to scout for game trails. Also, to a bring portable pop up blind, Game cart or backpack.",Not allowed,"NO ATV's, UTV's or Equines are allowed, NO baiting allowed, Hunter orange hat and vest is required at all times regardless of species hunted. No latecomers will be accepted.",,1,$80.00 ,$0.00 ,16-Aug,17,18,276,1,,0.003623188
4,Enchanted Rock SNA,"Nov09,2021; Nov12,2021",Five White-tailed Deer; Antlerless or Spike Buck; Limit One Spike BuckUnlimited Feral HogsUnlimited Exotic Mammals,Centerfire Rifles,Assigned Blind; Hunters will be taken to and from blinds by Department staff. Hunters will need to bring a shooting stick and fold-up chair.,Allowed,Baiting allowed; Corn must be labeled for wildlife use (aflatoxin less than 20 ppb) and in it's original container. No other types of baits allowed.,,30,$130.00 ,$0.00 ,16-Aug,17,18,1622,30,56%,0.018495684
5,Fairfield Lake SP,"Jan05,2022; Jan07,2022",Two White-tailed Deer; Antlerless or Spike BuckUnlimited Feral Hogs,Centerfire Rifles .243 or Larger,Assigned Blind,Allowed,,,20,$80.00 ,$0.00 ,16-Aug,17,18,685,20,100%,0.02919708
6,Gus Engeling WMA,"Nov30,2021; Dec02,2021",One White-tailed Deer; Antlerless or Spike BuckUnlimited Feral Hogs,,Compartment,Allowed,Hunter orange required. ATV and ORV use is prohibited.,Shotguns with Buckshot,135,$80.00 ,$0.00 ,16-Aug,17,18,519,180,15%,0.260115607
7,Hill Country SNA,"Nov08,2021; Nov10,2021",Four White-tailed Deer; Antlerless OnlyUnlimited Feral HogsUnlimited Exotic Mammals,Centerfire Rifles,Assigned Blind,Allowed,,,64,$80.00 ,$0.00 ,16-Aug,17,18,1966,64,48%,0.032553408
8,Inks Lake/Longhorn Caverns SP,"Jan18,2022; Jan20,2022",Two White-tailed Deer; Antlerless or Spike BuckUnlimited Feral HogsUnlimited Exotic Mammals,,Assigned Blind,Allowed,,,14,$80.00 ,$0.00 ,16-Aug,17,18,1677,,,0.008348241
9,Lake Brownwood SP,"Jan10,2022; Jan12,2022",Three White-tailed Deer; Antlerless or Spike Buck; Limit Two BucksUnlimited Feral Hogs,Centerfire Rifles,Assigned Blind,Allowed,,,10,$80.00 ,$0.00 ,16-Aug,17,18,777,10,63%,0.012870013
